17.909;59.332;41.6;36;43;1295.8;435;1713;10
17.909;59.389;27.8;27;29;786.8;290;1118;20
17.909;59.417;32.8;32;33;973;973;973;6.66666666666667
17.910;59.331;41;35;43;1110.2;377;1740;10
17.910;59.356;38.2;37;39;197;66;267;25
17.910;59.389;30.8571;29;33;1088.14285714286;624;1352;28
17.910;59.414;29.6;29;30;686;686;686;12
17.910;59.415;27.6;27;28;487;487;487;12
17.911;59.390;30;29;31;1116;887;1345;21.1764705882353
17.911;59.418;32.6;32;33;930;930;930;12
17.912;59.283;34.2;34;35;1081;1081;1081;6
17.912;59.416;25.8;25;26;405;405;405;6.66666666666667
17.913;59.348;32;32;32;842;842;842;7.89473684210526
17.913;59.463;36;36;36;1087;1087;1087;5
17.915;59.354;38.6;38;40;332;300;340;21.4285714285714
17.916;59.380;34.6;31;42;519.6;288;1300;5.45454545454546
17.916;59.412;29.5;29;30;697.5;664;731;30
17.916;59.461;32;32;32;748;748;748;5
17.917;59.330;37.6;37;39;992;494;1701;20
17.917;59.331;36.6;36;37;1185.6;426;1692;9.67741935483871
17.917;59.379;34.6;31;42;517.6;276;1338;5.45454545454546
17.917;59.413;25.8;25;26;242;242;242;12
17.918;59.389;26.8;26;27;658;658;658;12
17.918;59.416;28.6;28;29;329;329;329;12
17.918;59.454;34;34;34;823;823;823;7.89473684210526
17.919;59.286;23.2;23;24;143;143;143;5.45454545454546
17.919;59.412;24.8;24;25;262;262;262;6.66666666666667
17.920;59.286;35;35;35;847;847;847;15
17.921;59.415;34.4;33;35;715.6;362;804;11.5384615384615
17.921;59.463;30;30;30;574;574;574;5
17.922;59.371;35.8;35;36;1265.6;427;1714;23.0769230769231
17.922;59.415;33.2;32;34;548.2;271;714;12
17.922;59.449;37.3333;34;44;891.333333333333;462;1189;9.72972972972973
17.922;59.462;29;29;29;516;516;516;10
17.922;59.487;45.6;44;46;1548.6;595;1787;7.89473684210526
17.923;59.287;27.2;27;28;390;390;390;5.45454545454546
17.923;59.381;37.4;35;44;1055.4;663;1317;23.0769230769231
