2230370;2017-01-06;Norrbyvägen 16;Bromma;17.96161652;59.34518234;1;1;34;1795000;355000;2150000;3143;5868;;Lägenhet;Svenska Mäklarhuset;58;Broker
2228376;2017-01-06;Tulegatan 35A;Vasastan;18.05903823;59.34535877;3;2;93;7995000;555000;8550000;3006;1786;1904;Lägenhet;Diplomat Fastighetsmäkleri AB;132;Broker
2185850;2017-01-07;Arvikagatan 19H;Farsta;18.10372264;59.23977709;3;2;87;2995000;-70000;2925000;6747;7826;2005;Lägenhet;SkandiaMäklarna;1570;Broker
2233645;2017-01-07;Klädesvägen 42;Bromma;17.94396752;59.33859118;2;3;43;2895000;0;2895000;2437;;;Lägenhet;Svenska Mäklarhuset;58;Broker
2234603;2017-01-07;Thorildsvägen 4;Kungsholmen;18.01683784;59.33277354;1;0.5;27.5;2295000;805000;3100000;1425;3080;1929;Lägenhet;Bjurfors;1561;Broker
2228700;2017-01-07;Sankt Göransgatan 82;Kungsholmen;18.0285754;59.3338223;1;4.5;31;3330000;0;3330000;2050;2425;1905;Lägenhet;BOSTHLM;1499;Broker
2234821;2017-01-08;Mellingebacken 14;Spånga;17.90179;59.39826;3.5;4;81;1895000;330000;2225000;5540;;1969;Lägenhet;HusmanHagberg;1610;Broker
2187479;2017-01-08;Sandelsgatan 10;Östermalm;18.08958;59.34507;3;2;65;4975000;25000;5000000;2951;1194;1962;Lägenhet;Fastighetsbyrån;1573;Broker
2043868;2017-01-09;Borgarfjordsgatan 21A;Kista;17.9417622;59.40506654;4;24;115;4995000;-195000;4800000;5707;;2015;Lägenhet;HusmanHagberg;1610;Broker
2230110;2017-01-09;Frödingsvägen 9;Kungsholmen;18.00314;59.33049;1;;19;1750000;850000;2600000;1180;3829;1930;Lägenhet;Svensk Fastighetsförmedling;713;Broker
2185887;2017-01-09;Palmbladsvägen 2;Kungsholmen;18.00628;59.32859;3;1;75.5;4995000;805000;5800000;3728;3647;1935;Lägenhet;Svensk Fastighetsförmedling;713;Broker
2237807;2017-01-09;Karlbergsvägen 57;Birkastan;18.03325577;59.34212449;1;5;20;1995000;755000;2750000;1227;2559;1903;Lägenhet;Living Fastighetsmäkleri;128;Broker
2171198;2017-01-09;Göksholmsbacken 24;Hagsätra;18.01711951;59.2589682;3;1;75;2095000;580000;2675000;4011;7604;1958;Lägenhet;SkandiaMäklarna;1570;Broker
2235004;2017-01-09;Norrtullsgatan 9;Vasastan;18.05189449;59.34178686;2;2;43.5;3750000;550000;4300000;1296;1752;1937;Lägenhet;Notar;1566;Broker
2230072;2017-01-09;Ålgrytevägen 33;Bredäng;17.94210874;59.29862666;2;4;49;2800000;0;2800000;2978;;2017;Lägenhet;Fastighetsbyrån;1573;Broker
2211372;2017-01-09;Ljusnevägen 4;Bagarmossen;18.13979311;59.27796524;3;4;79;3475000;450000;3925000;4320;3655;2009;Lägenhet;Mäklarringen;1598;Broker
2228203;2017-01-09;Isgränd 11;Västertorp;17.967453;59.29069324;2;3;56;2295000;695000;2990000;2948;6935;;Lägenhet;Svenska Mäklarhuset;58;Broker
2199790;2017-01-09;Armégatan 36F;Västra Skogen;17.99987555;59.3488144;3;2;81;4295000;555000;4850000;4458;4146;2015;Lägenhet;Fastighetsbyrån;1573;Broker
2234046;2017-01-09;Kratsbodavägen 50A;Bromma;17.9548;59.3611;2;3;51;3350000;50000;3400000;3177;4751;2016;Lägenhet;Notar;1566;Broker
2175961;2017-01-09;Stallgatan 17;Rissne/Ursvik;17.94386021;59.38385853;3;3;62.5;2995000;0;2995000;3410;;2017;Lägenhet;Notar;1566;Broker
2229096;2017-01-09;Slipgatan 14;Södermalm;18.0276;59.3168;2;6;40;4160000;0;4160000;2437;2677;1938;Lägenhet;BOSTHLM;1499;Broker
2235454;2017-01-09;Furusundsgatan 15;Gärdet;18.09943155;59.34676005;1;5;26;2800000;0;2800000;1547;614;1938;Lägenhet;Bostadsrättsspecialisten;1572;Broker
2234906;2017-01-10;Mårdstigen 14;Bergshamra;18.02969098;59.38052913;3;1;75;2975000;820000;3795000;3562;552;1954;Lägenhet;Erik Olsson Fastighetsförmedling;1564;Broker
2228332;2017-01-10;Hornsgatan 158A;Södermalm;18.0363;59.31572;2;2;57;4200000;1600000;5800000;2542;2216;1904;Lägenhet;Erik Olsson Fastighetsförmedling;1564;Broker
2235536;2017-01-10;Henriksdalsringen 39;Katarina/Sofia;18.1117363;59.31122208;3;5;81;2995000;1255000;4250000;4740;444;1971;Lägenhet;Mäklarhuset;204;Broker
2233707;2017-01-10;Sveavägen 83;Vasastan;18.05418709;59.34522063;1;0;23;1995000;1055000;3050000;975;1950;1926;Lägenhet;Svensk Fastighetsförmedling;713;Broker
2235185;2017-01-10;Harpsundsvägen 155;Bandhagen;18.0461;59.2601;2;;37.4;1495000;920000;2415000;1971;6876;1955;Lägenhet;Notar;1566;Broker
2233122;2017-01-10;Krukmakargatan 38;Högalid;18.0518531;59.31693125;1;3;24;2195000;625000;2820000;2177;1327;1884;Lägenhet;Fastighetsbyrån;1573;Broker
2227049;2017-01-10;Råsundavägen 69B;Råsunda;18.0023;59.3664;1;2;25;1950000;650000;2600000;1458;2712;1929;Lägenhet;Notar;1566;Broker
2222256;2017-01-10;Ålgrytevägen 33;Bredäng;17.94210874;59.29862666;2;4;50;2700000;0;2700000;3026;;2017;Lägenhet;Fastighetsbyrån;1573;Broker
2214240;2017-01-10;Larsbodavägen 76;Farsta;18.0981796;59.24449465;2;8;40;1795000;705000;2500000;2549;7352;1958;Lägenhet;Notar;1566;Broker
2197079;2017-01-10;Olof Af Acrels väg 5;Karolinska;18.02703711;59.35040224;1;1;25;1895000;505000;2400000;1928;3025;1959;Lägenhet;Notar;1566;Broker
2190974;2017-01-10;Backvägen 3;Råsunda;17.99762249;59.3686143;3.5;1;76;3450000;0;3450000;3617;2576;1954;Lägenhet;Notar;1566;Broker
2168284;2017-01-10;Ekstocksvägen 41;Spånga;17.9238;59.3724;3;1;64;2290000;-90000;2200000;3746;;1996;Lägenhet;Notar;1566;Broker
2236158;2017-01-10;Sankt Eriksgatan 90;Vasastan Birkastan;18.03839552;59.34155172;1;5;41;3150000;610000;3760000;1902;2284;1929;Lägenhet;HusmanHagberg;1610;Broker
2230395;2017-01-10;Skönviksvägen 321;Stureby;18.0525109;59.27311608;1;1;20;1495000;625000;2120000;1300;5381;1952;Lägenhet;Länsförsäkringar Fastighetsförmedling;64;Broker
2236295;2017-01-10;Ellen Keys gata 95;Fruängen;17.96569001;59.28370869;3;-1;63;2595000;405000;3000000;3641;7430;1955;Lägenhet;Living Fastighetsmäkleri;128;Broker
2235344;2017-01-10;Tomtebogatan 51;Birkastan;18.02744865;59.3422611;2;5;62;5450000;1050000;6500000;3141;2847;1907;Lägenhet;Innerstadsspecialisten AB;1130;Broker
2235874;2017-01-10;Torsgatan 49;Vasastan;18.03701;59.34182;1;6;44;4290000;1160000;5450000;1955;2365;1904;Lägenhet;Erik Olsson Fastighetsförmedling;1564;Broker
2230338;2017-01-10;Arvid Tydéns Allé 2;Gamla Huvudsta;18.00511122;59.35246794;2;3;38;2795000;105000;2900000;2058;3585;2016;Lägenhet;Edward & Partners Fastighetsmäklare AB;410;Broker
2234682;2017-01-10;Multrågatan 118;Vällingby Råcksta;17.88156867;59.35931454;1;1;18;1195000;265000;1460000;1063;;1953;Lägenhet;Mäklarringen;1598;Broker
2227606;2017-01-10;Lidnersplan 6;Kungsholmen;17.99858125;59.33586991;2.5;1;59;4850000;0;4850000;2885;4162;1938;Lägenhet;BOSTHLM;1499;Broker
2200645;2017-01-10;Mäster Davids gränd 54;Hässelby Norra Villastad;17.80974028;59.38199169;4;;107.3;2895000;605000;3500000;5089;;1984;Radhus;Fastighetsbyrån;1573;Broker
2235003;2017-01-10;Grusåsgränd 185;Enskede;18.09570984;59.28648469;2.5;2;64;3110000;0;3110000;3013;2900;;Lägenhet;BOSTHLM;1499;Broker
2235403;2017-01-10;Högalidsgatan 38D;Södermalm;18.03722377;59.3186049;2;2;49;4650000;0;4650000;2293;2106;;Lägenhet;BOSTHLM;1499;Broker
2231498;2017-01-10;Kvarngränd 10;Kvarnholmen;18.13802277;59.31718516;2;1;60;2950000;850000;3800000;2776;94;2014;Lägenhet;Fastighetsmäklarna;1626;Broker
2235931;2017-01-10;Alströmergatan 51;Kungsholmen;18.02581268;59.33657338;1;5;23;3225000;0;3225000;1242;2670;1930;Lägenhet;BOSTHLM;1499;Broker
2235945;2017-01-10;Tavastgatan 16;Södermalm;18.06195868;59.31996665;1;5;26.5;3250000;0;3250000;1592;686;1931;Lägenhet;BOSTHLM;1499;Broker
2226213;2017-01-10;Sturegatan 14;Sundbyberg/Duvbo;17.97164361;59.36219033;1;3;34;3000000;-40000;2960000;1750;3994;1946;Lägenhet;BOSTHLM;1499;Broker
